song_id,split
1594,train
374,train
704,train
455,train
1092,train
1672,train
1943,train
1451,train
1029,train
1665,train
1400,train
301,train
442,train
1445,train
1535,train
955,train
1966,train
1129,train
863,train
1739,train
617,train
316,train
1008,train
1266,train
1064,train
631,train
1760,train
671,train
647,train
1187,train
1828,train
1647,train
1591,train
292,train
851,train
81,train
319,train
250,train
1832,train
1306,train
1026,train
723,train
1402,train
1918,train
1235,train
1136,train
1481,train
1602,train
90,train
2022,train
1219,train
1533,train
115,train
158,train
874,train
1151,train
99,train
522,train
989,train
1084,train
736,train
481,train
684,train
1173,train
1758,train
1552,train
1341,train
1998,train
750,train
53,train
1167,train
1900,train
1756,train
1915,train
959,train
1791,train
488,train
1301,train
1377,train
884,train
1899,train
1838,train
135,train
834,train
1177,train
594,train
638,train
85,train
123,train
1519,train
1744,train
49,train
1184,train
1042,train
1052,train
748,train
422,train
1059,train
1854,train
1428,train
1346,train
272,train
138,train
1097,train
734,train
1631,train
1505,train
1869,train
369,train
769,train
1133,train
2037,train
1510,train
1111,train
1554,train
1357,train
1339,train
1353,train
248,train
326,train
1305,train
1689,train
1323,train
1648,train
928,train
1351,train
92,train
1031,train
1095,train
1302,train
71,train
614,train
302,train
1307,train
1732,train
1886,train
1681,train
1372,train
2010,train
1722,train
1590,train
430,train
999,train
1714,train
1168,train
1430,train
50,train
1210,train
142,train
1119,train
1788,train
1432,train
1743,train
623,train
735,train
1708,train
1165,train
289,train
1704,train
408,train
983,train
223,train
1016,train
1958,train
764,train
1601,train
1174,train
1861,train
1050,train
1808,train
1275,train
1259,train
902,train
156,train
1082,train
1813,train
490,train
1657,train
1967,train
1314,train
1272,train
175,train
103,train
1057,train
2021,train
814,train
1598,train
1839,train
313,train
201,train
1800,train
664,train
453,train
1934,train
239,train
1030,train
1349,train
1953,train
1774,train
1046,train
964,train
452,train
52,train
1160,train
1568,train
1517,train
125,train
1338,train
1610,train
227,train
1902,train
1218,train
281,train
345,train
1559,train
1460,train
13,train
332,train
492,train
40,train
1506,train
1447,train
2005,train
1962,train
290,train
136,train
1993,train
1986,train
237,train
1183,train
826,train
1613,train
535,train
787,train
932,train
974,train
1473,train
1837,train
721,train
1658,train
1977,train
17,train
1366,train
609,train
2003,train
936,train
1947,train
1960,train
1816,train
1245,train
475,train
106,train
1028,train
207,train
217,train
741,train
1007,train
1224,train
300,train
1456,train
551,train
463,train
1562,train
353,train
80,train
1271,train
69,train
958,train
359,train
203,train
580,train
830,train
126,train
556,train
118,train
1871,train
1389,train
288,train
93,train
54,train
714,train
1450,train
380,train
1125,train
1866,train
399,train
1047,train
1795,train
410,train
1644,train
1687,train
1564,train
1413,train
512,train
178,train
24,train
1409,train
1916,train
1441,train
568,train
1190,train
402,train
782,train
1609,train
1172,train
1843,train
1005,train
1143,train
1990,train
473,train
1329,train
1424,train
65,train
513,train
1712,train
1277,train
1412,train
293,train
1767,train
387,train
1547,train
467,train
1651,train
2004,train
1931,train
425,train
1500,train
711,train
2052,train
1070,train
1458,train
763,train
1951,train
1589,train
1486,train
1099,train
1141,train
672,train
1159,train
519,train
1258,train
95,train
2018,train
673,train
1948,train
1709,train
1492,train
1655,train
1952,train
606,train
1231,train
625,train
643,train
520,train
329,train
1514,train
1520,train
1572,train
189,train
1071,train
1721,train
611,train
1153,train
1072,train
1236,train
506,train
1102,train
1182,train
726,train
1620,train
194,train
1104,train
810,train
846,train
1274,train
1701,train
645,train
1048,train
346,train
164,train
1415,train
1434,train
1311,train
1671,train
1024,train
1079,train
1516,train
1320,train
449,train
1421,train
225,train
2026,train
1797,train
1571,train
715,train
887,train
1849,train
682,train
501,train
1980,train
391,train
1156,train
2030,train
1513,train
600,train
55,train
1850,train
1166,train
1534,train
1060,train
1865,train
956,train
514,train
1720,train
1690,train
134,train
1467,train
386,train
404,train
1152,train
2036,train
1169,train
1112,train
1288,train
854,train
1670,train
776,train
218,train
335,train
577,train
876,train
688,train
1094,train
212,train
1333,train
1873,train
1625,train
1370,train
39,train
1874,train
756,train
915,train
1322,train
1983,train
44,train
306,train
804,train
1597,train
1009,train
554,train
1961,train
796,train
1822,train
1703,train
1920,train
1950,train
663,train
328,train
500,train
1660,train
1155,train
1096,train
620,train
1494,train
1376,train
1769,train
1491,train
1023,train
791,train
368,train
202,train
2028,train
1809,train
1784,train
322,train
1142,train
1847,train
275,train
1619,train
1985,train
1222,train
236,train
1396,train
1882,train
1110,train
1662,train
1407,train
1393,train
286,train
942,train
96,train
1216,train
1217,train
1697,train
976,train
347,train
284,train
51,train
350,train
1465,train
790,train
945,train
1605,train
1667,train
4,train
2023,train
102,train
727,train
1284,train
1682,train
192,train
109,train
1857,train
1776,train
1298,train
836,train
1626,train
1892,train
127,train
1014,train
1278,train
2041,train
1464,train
744,train
1332,train
547,train
780,train
357,train
579,train
592,train
1515,train
692,train
1051,train
276,train
1821,train
1066,train
1261,train
806,train
521,train
1039,train
1283,train
151,train
304,train
1834,train
365,train
738,train
1087,train
184,train
1313,train
2035,train
1780,train
1930,train
757,train
101,train
652,train
498,train
89,train
1761,train
1692,train
1416,train
1764,train
1330,train
1318,train
221,train
1264,train
1378,train
1841,train
1411,train
343,train
1482,train
1385,train
1512,train
131,train
1240,train
1027,train
1524,train
857,train
1179,train
1643,train
352,train
1770,train
1362,train
68,train
330,train
159,train
1972,train
1763,train
1793,train
362,train
216,train
448,train
278,train
1583,train
1766,train
1109,train
1881,train
341,train
1383,train
695,train
1975,train
781,train
1858,train
1593,train
644,train
1586,train
1319,train
229,train
1607,train
949,train
1037,train
1935,train
1017,train
152,train
1638,train
231,train
994,train
153,train
1518,train
1829,train
1457,train
1380,train
598,train
1538,train
1982,train
1711,train
2054,train
1020,train
1929,train
423,train
1877,train
1604,train
1949,train
456,train
767,train
897,train
1294,train
299,train
954,train
502,train
270,train
1798,train
121,train
31,train
1068,train
585,train
1285,train
981,train
867,train
1919,train
1989,train
296,train
1348,train
730,train
1641,train
1614,train
993,train
1783,train
113,train
228,train
1227,train
686,train
18,train
1878,train
333,train
1262,train
967,train
794,train
1158,train
338,train
416,train
314,train
1543,train
437,train
1862,train
1281,train
1938,train
2058,train
1128,train
1335,train
47,train
407,train
1707,train
904,train
811,train
1685,train
1433,train
1448,train
1180,train
1539,train
210,train
651,train
866,train
709,train
1588,train
1326,train
1247,train
713,train
1679,train
1148,train
1855,train
1198,train
1910,train
1144,train
253,train
1260,train
1621,train
43,train
934,train
1646,train
1833,train
1968,train
1917,train
957,train
110,train
1904,train
801,train
242,train
1771,train
187,train
493,train
1069,train
1025,train
1812,train
74,train
2050,train
831,train
397,train
1328,train
406,train
1012,train
677,train
1891,train
560,train
1883,train
1472,train
308,train
1664,train
1431,train
60,train
1551,train
1420,train
86,train
108,train
2048,train
586,train
1790,train
133,train
1845,train
1553,train
1675,train
667,train
1120,train
1974,train
1354,train
921,train
880,train
1715,train
1819,train
882,train
1490,train
689,train
1987,train
451,train
1202,train
327,train
1913,train
204,train
1731,train
1063,train
78,train
1956,train
1581,train
1214,train
1824,train
1085,train
911,train
1053,train
82,train
1725,train
1149,train
719,train
2001,train
1256,train
1880,train
1375,train
1634,train
1674,train
1055,train
1860,train
970,train
20,train
1696,train
1036,train
59,train
1054,train
1117,train
518,train
157,train
1108,train
1211,train
1368,train
892,train
1091,train
1106,train
1801,train
1778,train
366,train
1041,train
612,train
361,train
1908,train
197,train
1363,train
858,train
910,train
717,train
621,train
747,train
190,train
1157,train
724,train
635,train
1249,train
1324,train
729,train
656,train
687,train
1178,train
1229,train
381,train
1170,train
1485,train
1130,train
1290,train
1163,train
852,train
1401,train
1963,train
1440,train
323,train
1191,train
298,train
661,train
1398,train
1698,train
1208,train
1317,train
432,train
564,train
1127,train
257,train
19,train
355,train
648,train
1536,train
1269,train
1043,train
484,train
1435,train
1105,train
1189,train
180,train
1826,train
1954,train
120,train
1563,train
354,train
1856,train
1802,train
829,train
1684,train
1729,train
909,train
1312,train
743,train
206,train
415,train
1226,train
1303,train
2032,train
1162,train
1633,train
1209,train
865,train
1444,train
1582,train
1575,train
749,train
808,train
2,train
1379,train
1088,train
800,train
1422,train
428,train
1719,train
1118,train
1747,train
310,train
1971,train
784,train
1752,train
879,train
1093,train
825,train
1295,train
799,train
1996,train
1522,train
1785,train
174,train
1140,train
1002,train
489,train
1359,train
1321,train
5,train
1521,train
1673,train
674,train
1746,train
2047,train
1893,train
1532,validation
1304,validation
1498,validation
1150,validation
1700,validation
952,validation
1146,validation
1895,validation
264,validation
104,validation
1645,validation
1446,validation
1864,validation
1668,validation
1623,validation
79,validation
893,validation
1745,validation
1075,validation
2020,validation
968,validation
733,validation
1984,validation
1740,validation
886,validation
1073,validation
480,validation
70,validation
582,validation
1981,validation
813,validation
962,validation
1199,validation
496,validation
581,validation
1220,validation
105,validation
1040,validation
262,validation
2019,validation
1898,validation
658,validation
1100,validation
898,validation
444,validation
72,validation
1101,validation
436,validation
392,validation
1728,validation
370,validation
1528,validation
1726,validation
1403,validation
977,validation
244,validation
2055,validation
525,validation
987,validation
1677,validation
1003,validation
823,validation
111,validation
311,validation
1137,validation
356,validation
1388,validation
1449,validation
1640,validation
98,validation
1374,validation
358,validation
1737,validation
1844,validation
1654,validation
1405,validation
1132,validation
1386,validation
1161,validation
1852,validation
693,validation
1561,validation
317,validation
903,validation
12,validation
116,validation
728,validation
1762,validation
1556,validation
2009,validation
130,validation
1888,validation
1942,validation
1292,validation
698,validation
1555,validation
504,validation
941,validation
527,validation
1495,validation
739,validation
718,validation
2014,validation
1887,validation
258,validation
282,validation
2002,validation
325,validation
246,validation
1615,validation
797,validation
1392,validation
1624,validation
25,validation
1889,validation
1596,validation
1509,validation
805,validation
1369,validation
1807,validation
1872,validation
745,validation
1013,validation
649,validation
1688,validation
960,validation
321,validation
1663,validation
1293,validation
537,validation
1358,validation
181,validation
238,validation
1410,validation
1529,validation
1195,validation
35,validation
179,validation
1815,validation
1193,validation
798,validation
1578,validation
1810,validation
318,validation
1926,validation
1716,validation
634,validation
844,validation
1628,validation
507,validation
691,validation
850,validation
1327,validation
1414,validation
1912,validation
1603,validation
1115,validation
199,validation
1525,validation
107,validation
1474,validation
1442,validation
653,validation
1423,validation
294,validation
1083,validation
622,validation
1639,validation
170,validation
1475,validation
171,validation
460,validation
196,validation
1297,validation
145,validation
378,validation
1344,validation
1286,validation
1233,validation
1453,validation
128,validation
146,validation
841,validation
1753,validation
1367,validation
1443,validation
149,validation
558,validation
789,validation
469,validation
371,validation
1253,validation
1612,validation
1395,validation
1683,validation
2012,validation
746,validation
1188,validation
702,validation
1056,validation
7,validation
1033,validation
400,validation
1789,validation
1936,validation
540,validation
1242,validation
1779,validation
1089,validation
403,validation
628,validation
2040,validation
48,validation
1364,validation
1592,validation
129,validation
234,validation
1384,validation
1164,validation
186,validation
662,validation
1204,validation
1781,validation
454,validation
1896,validation
339,validation
1175,validation
1997,validation
1768,validation
477,validation
660,validation
265,validation
926,validation
1748,validation
1081,validation
154,validation
235,validation
1580,validation
1595,validation
1636,validation
137,validation
1991,validation
1213,validation
1098,validation
1124,validation
978,validation
1139,validation
1606,validation
2007,validation
226,validation
472,validation
1090,validation
1772,validation
646,validation
1225,validation
1437,validation
1426,validation
1738,validation
320,validation
1853,validation
544,validation
1251,validation
1627,validation
732,validation
632,validation
1309,validation
1792,validation
891,validation
87,validation
169,validation
607,test
150,test
1549,test
1706,test
176,test
22,test
2027,test
1462,test
610,test
1391,test
1461,test
64,test
924,test
161,test
591,test
657,test
297,test
1181,test
1316,test
1154,test
1021,test
2031,test
1632,test
1911,test
833,test
1717,test
499,test
1669,test
1999,test
1803,test
1851,test
530,test
1123,test
1499,test
1337,test
1922,test
401,test
1382,test
1230,test
1608,test
312,test
307,test
1825,test
1347,test
1814,test
172,test
1252,test
1755,test
208,test
1994,test
1932,test
640,test
148,test
637,test
819,test
1000,test
274,test
58,test
1257,test
871,test
1483,test
3,test
1343,test
1361,test
390,test
1818,test
1022,test
1901,test
2033,test
1959,test
1863,test
1565,test
795,test
1537,test
254,test
1296,test
441,test
1817,test
1282,test
697,test
1730,test
1735,test
10,test
1186,test
379,test
1147,test
779,test
2057,test
2016,test
1569,test
1831,test
1964,test
1794,test
1356,test
1653,test
280,test
1733,test
1897,test
41,test
1390,test
665,test
1340,test
1215,test
1477,test
1038,test
1045,test
160,test
1478,test
2043,test
1650,test
1879,test
384,test
1542,test
367,test
266,test
122,test
1804,test
219,test
1267,test
1300,test
334,test
1946,test
997,test
1074,test
1452,test
1134,test
1454,test
1786,test
696,test
1360,test
2034,test
1782,test
654,test
2051,test
700,test
344,test
1196,test
1573,test
1067,test
1279,test
1599,test
536,test
845,test
1727,test
1418,test
529,test
166,test
708,test
1078,test
848,test
1905,test
2042,test
608,test
143,test
1846,test
1830,test
872,test
1659,test
565,test
1397,test
1666,test
1567,test
712,test
1034,test
1203,test
395,test
2053,test
1750,test
1350,test
420,test
1557,test
1504,test
177,test
1584,test
1656,test
1694,test
706,test
1629,test
524,test
980,test
1015,test
393,test
1004,test
1965,test
1558,test
1185,test
2015,test
2008,test
240,test
2038,test
195,test
759,test
1840,test
605,test
1611,test
119,test
173,test
1699,test
478,test
1439,test
996,test
1523,test
1544,test
1955,test
777,test
1387,test
193,test
1032,test
305,test
1355,test
1197,test
1751,test
114,test
1909,test
699,test
1493,test
944,test
1992,test
990,test
232,test
1035,test
222,test
2049,test
913,test
1820,test
550,test
372,test
2024,test
931,test
1122,test
1686,test
383,test
1907,test
1811,test
21,test
1914,test
731,test
1463,test
1176,test
574,test
1116,test
2046,test
1693,test
1587,test
1723,test
494,test
1406,test
77,test
1489,test
1291,test
615,test
561,test
224,test
84,test
88,test
1121,test
1466,test
211,test
1373,test
1773,test
1642,test
243,test
1765,test
336,test
584,test
650,test
725,test
1775,test
73,test
273,test
1566,test
